时间,销售收入,销量,销售单价,销售收入增速,销售单价增速
2005,741.07,358.1,2.069449874,,
2006,971.4,383.9,2.530346444,31.08073461,22.27145367
2007,1241.96,485.2,2.559686727,27.8525839,1.159536189
2008,1574.85,562.1,2.801725672,26.80360076,9.455803396
2009,2095.17,628.5,3.333603819,33.03933708,18.98394809
2010,2661.14,873.3,3.047223176,27.01308247,-8.590722166
2011,3746.67,1021.8,3.666735173,40.79191625,20.33037821
2012,4461,1126.7,3.959350315,19.06573037,7.98026386
2013,5018,1166.2,4.302864003,12.48598969,8.676011475
2014,5258.89,1202.6,4.372933644,4.800518135,1.628441916
2015,5558.86,1278.8,4.346934626,5.704055419,-0.594544068
2016,6125.74,1305.7,4.691537107,10.19777436,7.927482466
