   , word     , rank
1  , 正品     , 22.4387302
2  , 不错     , 19.7744314
3  , 包装     , 8.0781976
4  , 自营     , 5.8080396
5  , 国酒     , 5.3114141
6  , 真品     , 4.38078
7  , 信赖     , 4.2157289
8  , 送人     , 3.994347
9  , 快递     , 3.7704799
10 , 价格     , 3.729397
11 , 很快     , 3.6857001
12 , 好吃     , 3.45974
13 , 品质     , 3.363457
14 , 好不容易 , 2.941854
15 , 买来     , 2.9152562
16 , 涨价     , 2.9028912
17 , 抢到     , 2.8847669
18 , 购买     , 2.8472741
19 , 发货     , 2.7852647
20 , 预约     , 2.6888107
21 , 给力     , 2.6557071
22 , 小哥     , 2.5998785
23 , 质量     , 2.4756785
24 , 收藏     , 2.4546488
25 , 便宜     , 2.3781685
26 , 好酒     , 2.3460127
27 , 真货     , 2.3244829
28 , 好喝     , 2.2981764
29 , 放心     , 2.1103576
30 , 服务态度 , 2.091746
31 , 喜欢     , 2.0463834
32 , 两瓶     , 2.0287104
33 , 验证     , 2.0105674
34 , 茅台酒   , 2.0032875
35 , 太难     , 2.0008632
36 , 还好     , 1.9948514
37 , 还行     , 1.9822087
38 , 可以     , 1.976571
39 , 买不到   , 1.9418717
40 , 整箱     , 1.9246317
41 , 购物     , 1.8976005
42 , 到货     , 1.8738444
43 , 限购     , 1.6553545
44 , 服务     , 1.6431769
45 , 完好     , 1.3984364
46 , 一如既往 , 1.3735096
47 , 正宗     , 1.3692958
48 , 箱子     , 1.3541228
49 , 太贵     , 1.3195055
50 , 口感     , 1.301251
51 , 朋友     , 1.2989134
52 , 方便     , 1.2920251
53 , 味道     , 1.2534882
54 , 发票     , 1.2528338
55 , 保障     , 1.2423238
56 , 礼品袋   , 1.225711
